Ticker,Sector,Price,Avg Volume,Volatility,Dividend Yield,Score
PTEN,Energy,8.5,7372069,0.39642601032208774,0.038900003,0.09812676763665072
BKE,Consumer Cyclical,44.62,382036,0.33108383312279915,0.0318,0.09604818121157056
STBA,Financial Services,44.24,164190,0.3190165582323824,0.0306,0.0959197860122042
MERC,Basic Materials,6.44,384207,0.49247580369680527,0.0469,0.09523310515550562
NBTB,Financial Services,46.15,231377,0.316899549560841,0.0301,0.09498277937508129
TRMK,Financial Services,33.6,301203,0.29825588259472224,0.028099999,0.09421439991573612
HNI,Industrials,53.44,255649,0.26484422436436766,0.0249,0.09401753071927689
NBHC,Financial Services,43.19,244580,0.2831765319997511,0.026600001,0.09393434128229022
CALM,Consumer Defensive,73.69,540703,0.28358611840527204,0.026500002,0.09344604788492832
CMP,Basic Materials,11.12,951300,0.5930327075041414,0.0552,0.09308086940485406
WLY,Communication Services,46.38,334166,0.3269647522179745,0.030299999,0.09267053648584171
UFCS,Financial Services,21.2,128938,0.3321862611714417,0.0305,0.09181595859034916
STC,Financial Services,75.62,174825,0.29117132820936686,0.026500002,0.09101171520894105
TRN,Industrials,34.13,645993,0.37260470252239597,0.0337,0.09044437649837339
FUN,Consumer Cyclical,42.18,1953379,0.3198958172121855,0.028900001,0.09034191585203115
HI,Industrials,28.35,496677,0.3648073505460066,0.0324,0.08881399991394627
WAFD,Financial Services,36.41,499587,0.32676409839631,0.028800001,0.08813698059653552
RILY,Financial Services,5.78,3151096,1.3461577169827506,0.118,0.08765689080212882
LCII,Consumer Cyclical,123.73,251458,0.39990938436501544,0.035,0.08751982666166672
ARCH,Basic Materials,130.02,432017,0.38059952038226563,0.0332,0.0872307983117127
HP,Energy,32.24,1575280,0.36881894858511605,0.0319,0.08649230231357843
BHLB,Financial Services,27.9,294169,0.3054193836559259,0.026400002,0.08643852817718098
VIRT,Financial Services,31.64,1461506,0.3439596433994943,0.0297,0.08634733920079318
VBTX,Financial Services,26.48,385942,0.36316258249469446,0.0312,0.08591193449962815
JXN,Financial Services,91.97,735136,0.3752844390265904,0.0322,0.085801585814536
CWT,Utilities,54.4,287423,0.24024072415527187,0.020599999,0.08574732311698267
CPK,Utilities,122.72,118906,0.24438673753208498,0.0209,0.08552018907022761
CAKE,Consumer Cyclical,39.21,942577,0.3316093482736534,0.028299998,0.08534137577040211
LKFN,Financial Services,69.7,122922,0.3318864234612112,0.028299998,0.08527012857248595
OFG,Financial Services,45.35,228184,0.2631310688363457,0.0224,0.08512867788308068
KTB,Consumer Cyclical,77.62,404520,0.30898241827486106,0.025899999,0.08382353644782524
RNST,Financial Services,34.6,680542,0.31903003404243846,0.026400002,0.08275083591812607
GDEN,Consumer Cyclical,32.79,213531,0.3671580250338619,0.030299999,0.08252577074191833
CRC,Energy,52.76,886474,0.36135664015624736,0.0296,0.08191353557859413
CSGS,Technology,48.42,210965,0.31290219201494834,0.0251,0.08021675987108742
CABO,Communication Services,346.96,112101,0.42644778130906186,0.0341,0.07996289697023073
BKU,Financial Services,37.66,761731,0.3933716802647439,0.031400003,0.0798227340078661
SXT,Basic Materials,79.09,153857,0.2683496859361845,0.0214,0.07974669292174641
OTTR,Utilities,79.95,230492,0.3019170670151505,0.023699999,0.07849837451822726
SBCF,Financial Services,28.23,442236,0.33557705537667726,0.026300002,0.07837246789855425
DCOM,Financial Services,29.9,230500,0.4504704305444078,0.035,0.07769655370653607
HTH,Financial Services,33.92,322069,0.26890329786558553,0.0208,0.07735122687263257
WKC,Energy,30.85,622750,0.2914040121097689,0.0225,0.07721238920871303
PRK,Financial Services,181.32,59679,0.31371281969204584,0.0242,0.07714061549590409
KLG,Consumer Defensive,18.38,1127652,0.4652808480025157,0.0353,0.07586815608582526
IPAR,Consumer Defensive,119.24,147588,0.3381227527710011,0.0252,0.07452914597873007
USPH,Healthcare,85.02,119307,0.2793812198353677,0.0208,0.07445024405096705
STRA,Consumer Defensive,94.8,139841,0.3452821026910321,0.0257,0.07443189148728356
