Ticker,Sector,Price,Avg Volume,Volatility,Dividend Yield,Score
LKFN,Financial Services,65.48,121666,0.33219736413752576,0.0293,0.08820057942383357
RILY,Financial Services,6.06,3161800,1.3495243469105338,0.118,0.0874382150052627
CAKE,Consumer Cyclical,37.37,940162,0.33134554983148373,0.028900001,0.08722012718956995
VIRT,Financial Services,32.04,1483685,0.34409485784691374,0.03,0.08718526102865178
OFG,Financial Services,43.87,229651,0.26416015420830347,0.0228,0.08631127608299723
KTB,Consumer Cyclical,74.88,412095,0.30979897448118426,0.026700001,0.08618492377101666
CRC,Energy,49.93,895066,0.3610588128670909,0.031,0.08585858839405032
CPK,Utilities,122.55,116033,0.24508135798569652,0.0209,0.08527780395773622
ARCH,Basic Materials,128.13,431056,0.3790891370682552,0.0323,0.08520423520915707
CWT,Utilities,54.98,283975,0.24082841146101183,0.020399999,0.0847076093565588
RNST,Financial Services,32.8,679043,0.31876838056671725,0.026800001,0.08407358644654168
GDEN,Consumer Cyclical,32.58,218022,0.3682625645714917,0.0307,0.08336443329699382
CABO,Communication Services,336.92,113367,0.42745740460971415,0.035,0.081879503367023
CSGS,Technology,46.93,208850,0.3131271140483083,0.0256,0.08175593505470277
BKU,Financial Services,36.03,750290,0.39469625042704765,0.0322,0.0815817225655443
SXT,Basic Materials,75.53,154625,0.2679382740556366,0.0217,0.08098880265047188
WKC,Energy,29.0,607630,0.29131893480508536,0.0234,0.08032433599160449
PRK,Financial Services,170.0,60180,0.31318965259306547,0.0249,0.07950454235585216
SBCF,Financial Services,27.11,444520,0.3356570099638406,0.026600001,0.07924756584963187
OTTR,Utilities,78.79,227675,0.30208803061326217,0.023699999,0.07845394917464012
HTH,Financial Services,32.33,329788,0.2678116322821087,0.021,0.07841332290555222
MGY,Energy,23.84,2028501,0.2743275220425416,0.0212,0.0772798873483514
CNS,Financial Services,91.61,184133,0.3386558094626268,0.025799999,0.07618354175272822
SSTK,Communication Services,33.5,500250,0.47077313883127586,0.0358,0.07604512035006025
IPAR,Consumer Defensive,117.54,149111,0.34125123110800437,0.0255,0.07472500514417008
KLG,Consumer Defensive,18.37,1139701,0.4679784008911983,0.0348,0.07436240632842958
USPH,Healthcare,84.59,119540,0.2800827361289715,0.0208,0.07426377036827464
STRA,Consumer Defensive,94.13,137270,0.34672204770008663,0.0255,0.07354594312403638
WGO,Consumer Cyclical,56.53,574438,0.33605065484928665,0.0241,0.07171537877469236
SHOO,Consumer Cyclical,45.61,652656,0.25657748983189393,0.0184,0.07171322789094019
IBTX,Financial Services,57.07,204811,0.37256292138200714,0.026600001,0.07139733847192407
SEE,Consumer Cyclical,33.26,1492746,0.33850076006598656,0.0241,0.0711962950845428
KFY,Industrials,71.92,354625,0.27463309705472966,0.0195,0.07100382368012252
HAYN,Industrials,59.4,84320,0.21261743587752957,0.0148,0.0696085903722637
MGEE,Utilities,90.6,141382,0.287100843117894,0.0199,0.06931362438329149
MCRI,Consumer Cyclical,75.36,128145,0.2295485880044536,0.0159,0.06926638119721963
RES,Energy,5.78,1912000,0.4001848557943169,0.0277,0.06921801162370066
NHC,Healthcare,124.65,57137,0.28470980201060536,0.0196,0.06884202743139102
SCL,Basic Materials,73.81,125993,0.29490124944652313,0.020299999,0.06883659882112898
EPC,Consumer Defensive,37.48,434148,0.2345886448493152,0.016,0.06820449476690307
JJSF,Consumer Defensive,167.06,90866,0.2750387008144335,0.0187,0.06799043169061778
WD,Financial Services,108.56,212953,0.351857009513293,0.0239,0.06792532009824027
SCHL,Communication Services,31.49,183174,0.3799917385038773,0.0254,0.06684355849420875
RGR,Industrials,41.5,141522,0.2744491717918165,0.0183,0.06667901338715451
GBX,Industrials,48.07,332840,0.3757975149597065,0.025,0.0665251871148763
AGO,Financial Services,80.18,388453,0.24046804195319113,0.0155,0.0644576296879283
BANC,Financial Services,14.31,2178962,0.43989005930249436,0.027999999,0.06365226585114885
AEO,Consumer Cyclical,19.78,4873709,0.4009679129615487,0.0253,0.06309731821964061
